Participant_ID,Group_ID,T0,P1,T1,P2,T2,P3,T3,P4,T4,P5,T5
1,1,0,0,0,0,1,0,0,0,0,0,0
2,2,0,0,0,1,1,0,1,1,0,1,1
3,3,0,1,1,1,1,0,1,0,1,0,1
4,4,1,0,0,1,1,1,1,0,1,1,1
5,1,0,0,0,0,1,0,0,1,0,1,1
6,2,1,1,0,1,1,0,1,1,1,1,1
7,3,0,0,0,1,1,0,1,1,1,0,0
8,4,0,0,0,1,0,0,1,1,1,1,1
9,1,0,1,0,1,1,0,1,0,1,0,0
10,2,1,1,1,1,1,0,0,0,1,0,1
11,3,0,1,1,1,1,0,1,1,1,1,1
12,4,0,1,1,1,1,1,1,0,1,1,1
13,1,1,0,0,0,0,0,1,1,1,0,0
14,2,0,0,0,1,0,1,0,0,0,1,0
15,3,0,0,1,0,1,1,0,1,1,1,1
16,3,1,1,1,1,0,1,1,1,0,1,1
17,2,1,1,0,1,1,1,1,1,1,1,1
18,4,0,1,1,1,1,1,0,0,0,1,1
19,4,0,1,1,0,1,1,1,0,1,0,0
21,1,0,1,0,0,0,1,1,1,0,,
22,1,0,1,0,0,0,0,0,1,0,1,1
23,4,1,1,1,0,1,1,0,1,1,1,1
24,3,1,0,0,0,0,0,0,0,0,0,0
25,2,0,0,0,1,1,,,,,,
26,4,0,1,1,1,1,1,1,1,1,1,1
27,1,1,0,1,0,1,1,1,1,1,0,1
28,3,0,0,0,0,0,0,1,0,0,1,0
29,2,0,1,0,0,0,1,0,0,1,0,0
30,2,0,0,0,0,0,1,0,0,1,0,0
31,1,1,1,0,1,1,0,1,1,1,0,0
33,2,1,0,1,0,0,0,0,1,0,0,0
37,4,1,0,1,1,1,1,1,1,1,1,1
38,3,1,1,0,0,1,1,1,0,0,0,0
39,3,0,0,0,0,1,0,0,0,0,1,0
41,1,0,1,1,0,0,1,0,0,1,0,0
42,4,0,1,1,0,1,1,1,0,1,1,0
46,2,0,1,0,0,0,0,1,0,0,1,0
47,4,0,1,1,1,1,1,1,1,1,1,1